seed,step,return
1,0,5
1,20000,17
1,40000,16
1,60000,26
1,80000,27
1,100000,11
1,120000,104
1,140000,121
1,160000,276
1,180000,197
1,200000,92
1,220000,216
1,240000,193
1,260000,192
1,280000,217
1,300000,183
1,320000,317
1,340000,161
1,360000,349
1,380000,338
1,400000,328
1,420000,291
1,440000,309
1,460000,402
1,480000,355
1,500000,240
2,0,4
2,20000,9
2,40000,72
2,60000,6
2,80000,21
2,100000,36
2,120000,49
2,140000,89
2,160000,81
2,180000,124
2,200000,141
2,220000,216
2,240000,350
2,260000,274
2,280000,155
2,300000,248
2,320000,170
2,340000,354
2,360000,137
2,380000,115
2,400000,250
2,420000,282
2,440000,257
2,460000,329
2,480000,215
2,500000,262
3,0,1
3,20000,40
3,40000,14
3,60000,19
3,80000,14
3,100000,116
3,120000,104
3,140000,37
3,160000,117
3,180000,195
3,200000,126
3,220000,180
3,240000,253
3,260000,182
3,280000,229
3,300000,367
3,320000,329
3,340000,265
3,360000,360
3,380000,382
3,400000,348
3,420000,328
3,440000,347
3,460000,490
3,480000,505
3,500000,536
4,0,0
4,20000,28
4,40000,28
4,60000,52
4,80000,30
4,100000,83
4,120000,20
4,140000,102
4,160000,149
4,180000,229
4,200000,152
4,220000,234
4,240000,199
4,260000,250
4,280000,387
4,300000,219
4,320000,418
4,340000,363
4,360000,313
4,380000,340
4,400000,246
4,420000,484
4,440000,391
4,460000,407
4,480000,368
4,500000,380
5,0,5
5,20000,18
5,40000,14
5,60000,2
5,80000,3
5,100000,10
5,120000,35
5,140000,62
5,160000,30
5,180000,78
5,200000,137
5,220000,114
5,240000,237
5,260000,153
5,280000,128
5,300000,138
5,320000,197
5,340000,400
5,360000,338
5,380000,203
5,400000,255
5,420000,456
5,440000,241
5,460000,141
5,480000,281
5,500000,291
