seed,step,return
1,0,0
1,20000,1
1,40000,14
1,60000,185
1,80000,681
1,100000,775
1,120000,801
1,140000,827
1,160000,828
1,180000,832
1,200000,806
1,220000,834
1,240000,841
1,260000,843
1,280000,844
1,300000,836
1,320000,846
1,340000,832
1,360000,846
1,380000,769
1,400000,846
1,420000,847
1,440000,844
1,460000,847
1,480000,846
1,500000,844
2,0,0
2,20000,0
2,40000,38
2,60000,158
2,80000,696
2,100000,766
2,120000,810
2,140000,817
2,160000,811
2,180000,829
2,200000,831
2,220000,820
2,240000,791
2,260000,836
2,280000,833
2,300000,825
2,320000,812
2,340000,838
2,360000,845
2,380000,846
2,400000,838
2,420000,843
2,440000,846
2,460000,843
2,480000,846
2,500000,847
3,0,0
3,20000,0
3,40000,57
3,60000,732
3,80000,746
3,100000,782
3,120000,812
3,140000,812
3,160000,822
3,180000,813
3,200000,822
3,220000,828
3,240000,823
3,260000,822
3,280000,835
3,300000,831
3,320000,840
3,340000,838
3,360000,842
3,380000,841
3,400000,841
3,420000,843
3,440000,835
3,460000,845
3,480000,846
3,500000,846
4,0,0
4,20000,0
4,40000,35
4,60000,662
4,80000,769
4,100000,788
4,120000,784
4,140000,782
4,160000,786
4,180000,790
4,200000,790
4,220000,797
4,240000,794
4,260000,809
4,280000,806
4,300000,808
4,320000,822
4,340000,827
4,360000,821
4,380000,821
4,400000,828
4,420000,833
4,440000,842
4,460000,844
4,480000,845
4,500000,847
5,0,0
5,20000,0
5,40000,96
5,60000,715
5,80000,725
5,100000,749
5,120000,766
5,140000,782
5,160000,808
5,180000,812
5,200000,814
5,220000,819
5,240000,815
5,260000,828
5,280000,837
5,300000,806
5,320000,801
5,340000,831
5,360000,837
5,380000,841
5,400000,846
5,420000,841
5,440000,844
5,460000,846
5,480000,845
5,500000,848
