seed,step,return
1,0,89
1,20000,114
1,40000,667
1,60000,806
1,80000,854
1,100000,855
1,120000,866
1,140000,870
1,160000,870
1,180000,875
1,200000,878
1,220000,876
1,240000,874
1,260000,879
1,280000,878
1,300000,879
1,320000,880
1,340000,875
1,360000,863
1,380000,880
1,400000,878
1,420000,877
1,440000,878
1,460000,881
1,480000,860
1,500000,882
2,0,94
2,20000,84
2,40000,513
2,60000,860
2,80000,853
2,100000,864
2,120000,868
2,140000,873
2,160000,877
2,180000,879
2,200000,881
2,220000,882
2,240000,881
2,260000,880
2,280000,880
2,300000,882
2,320000,874
2,340000,875
2,360000,879
2,380000,881
2,400000,880
2,420000,879
2,440000,881
2,460000,879
2,480000,880
2,500000,882
3,0,83
3,20000,78
3,40000,397
3,60000,819
3,80000,861
3,100000,868
3,120000,873
3,140000,875
3,160000,874
3,180000,877
3,200000,879
3,220000,876
3,240000,882
3,260000,882
3,280000,881
3,300000,880
3,320000,881
3,340000,882
3,360000,882
3,380000,881
3,400000,882
3,420000,881
3,440000,882
3,460000,881
3,480000,882
3,500000,882
4,0,104
4,20000,99
4,40000,589
4,60000,786
4,80000,858
4,100000,852
4,120000,860
4,140000,858
4,160000,859
4,180000,866
4,200000,862
4,220000,867
4,240000,875
4,260000,878
4,280000,881
4,300000,879
4,320000,881
4,340000,880
4,360000,876
4,380000,878
4,400000,881
4,420000,880
4,440000,877
4,460000,881
4,480000,869
4,500000,882
5,0,102
5,20000,116
5,40000,703
5,60000,853
5,80000,849
5,100000,855
5,120000,852
5,140000,861
5,160000,863
5,180000,863
5,200000,865
5,220000,857
5,240000,866
5,260000,855
5,280000,866
5,300000,865
5,320000,866
5,340000,866
5,360000,864
5,380000,852
5,400000,863
5,420000,867
5,440000,865
5,460000,864
5,480000,866
5,500000,867
