seed,step,return
1,0,11
1,20000,137
1,40000,380
1,60000,543
1,80000,515
1,100000,544
1,120000,609
1,140000,650
1,160000,674
1,180000,742
1,200000,674
1,220000,734
1,240000,722
1,260000,773
1,280000,865
1,300000,797
1,320000,607
1,340000,769
1,360000,836
1,380000,818
1,400000,807
1,420000,816
1,440000,853
1,460000,853
1,480000,875
1,500000,868
2,0,12
2,20000,142
2,40000,340
2,60000,498
2,80000,517
2,100000,620
2,120000,684
2,140000,683
2,160000,699
2,180000,577
2,200000,535
2,220000,776
2,240000,698
2,260000,706
2,280000,777
2,300000,829
2,320000,810
2,340000,794
2,360000,814
2,380000,812
2,400000,814
2,420000,808
2,440000,844
2,460000,890
2,480000,860
2,500000,817
3,0,10
3,20000,69
3,40000,480
3,60000,506
3,80000,412
3,100000,695
3,120000,686
3,140000,642
3,160000,725
3,180000,721
3,200000,406
3,220000,800
3,240000,771
3,260000,830
3,280000,783
3,300000,818
3,320000,755
3,340000,822
3,360000,831
3,380000,797
3,400000,842
3,420000,773
3,440000,742
3,460000,794
3,480000,845
3,500000,815
4,0,12
4,20000,27
4,40000,473
4,60000,238
4,80000,466
4,100000,558
4,120000,638
4,140000,515
4,160000,491
4,180000,597
4,200000,529
4,220000,479
4,240000,728
4,260000,720
4,280000,693
4,300000,652
4,320000,759
4,340000,812
4,360000,652
4,380000,635
4,400000,774
4,420000,769
4,440000,765
4,460000,826
4,480000,856
4,500000,794
5,0,12
5,20000,95
5,40000,337
5,60000,495
5,80000,495
5,100000,597
5,120000,645
5,140000,620
5,160000,592
5,180000,709
5,200000,661
5,220000,665
5,240000,692
5,260000,657
5,280000,692
5,300000,750
5,320000,784
5,340000,586
5,360000,726
5,380000,759
5,400000,649
5,420000,749
5,440000,705
5,460000,782
5,480000,772
5,500000,775
