seed,step,return
1,0,0
1,20000,387
1,40000,959
1,60000,978
1,80000,979
1,100000,980
1,120000,972
1,140000,972
1,160000,989
1,180000,969
1,200000,980
1,220000,983
1,240000,979
1,260000,977
1,280000,978
1,300000,973
1,320000,981
1,340000,983
1,360000,983
1,380000,976
1,400000,983
1,420000,969
1,440000,979
1,460000,990
1,480000,974
1,500000,986
2,0,0
2,20000,31
2,40000,914
2,60000,928
2,80000,982
2,100000,977
2,120000,973
2,140000,969
2,160000,944
2,180000,981
2,200000,978
2,220000,971
2,240000,978
2,260000,975
2,280000,968
2,300000,974
2,320000,958
2,340000,984
2,360000,970
2,380000,982
2,400000,975
2,420000,982
2,440000,983
2,460000,982
2,480000,971
2,500000,973
3,0,90
3,20000,42
3,40000,950
3,60000,963
3,80000,970
3,100000,968
3,120000,975
3,140000,973
3,160000,973
3,180000,947
3,200000,978
3,220000,973
3,240000,974
3,260000,975
3,280000,975
3,300000,976
3,320000,959
3,340000,980
3,360000,973
3,380000,979
3,400000,974
3,420000,978
3,440000,968
3,460000,975
3,480000,981
3,500000,972
4,0,46
4,20000,549
4,40000,940
4,60000,949
4,80000,933
4,100000,980
4,120000,971
4,140000,972
4,160000,965
4,180000,978
4,200000,973
4,220000,975
4,240000,989
4,260000,973
4,280000,973
4,300000,981
4,320000,968
4,340000,975
4,360000,919
4,380000,976
4,400000,972
4,420000,978
4,440000,860
4,460000,980
4,480000,979
4,500000,955
5,0,48
5,20000,870
5,40000,891
5,60000,958
5,80000,984
5,100000,979
5,120000,973
5,140000,977
5,160000,972
5,180000,975
5,200000,972
5,220000,968
5,240000,988
5,260000,972
5,280000,977
5,300000,971
5,320000,985
5,340000,977
5,360000,979
5,380000,974
5,400000,982
5,420000,979
5,440000,973
5,460000,979
5,480000,978
5,500000,974
