seed,step,return
1,0,5
1,20000,6
1,40000,6
1,60000,15
1,80000,9
1,100000,36
1,120000,25
1,140000,28
1,160000,39
1,180000,34
1,200000,64
1,220000,58
1,240000,74
1,260000,90
1,280000,102
1,300000,95
1,320000,107
1,340000,107
1,360000,106
1,380000,125
1,400000,135
1,420000,143
1,440000,148
1,460000,155
1,480000,145
1,500000,183
1,520000,174
1,540000,184
1,560000,196
1,580000,195
1,600000,221
1,620000,217
1,640000,201
1,660000,223
1,680000,228
1,700000,207
1,720000,232
1,740000,247
1,760000,265
1,780000,255
1,800000,245
1,820000,239
1,840000,293
1,860000,296
1,880000,286
1,900000,320
1,920000,324
1,940000,292
1,960000,288
1,980000,337
1,1000000,325
1,1020000,351
1,1040000,351
1,1060000,347
1,1080000,365
1,1100000,343
1,1120000,377
1,1140000,374
1,1160000,354
1,1180000,376
1,1200000,364
1,1220000,369
1,1240000,375
1,1260000,378
1,1280000,399
1,1300000,391
1,1320000,415
1,1340000,396
1,1360000,389
1,1380000,397
1,1400000,396
1,1420000,357
1,1440000,346
1,1460000,411
1,1480000,404
1,1500000,392
1,1520000,422
1,1540000,363
1,1560000,419
1,1580000,409
1,1600000,383
1,1620000,405
1,1640000,402
1,1660000,377
1,1680000,402
1,1700000,415
1,1720000,407
1,1740000,429
1,1760000,413
1,1780000,446
1,1800000,460
1,1820000,470
1,1840000,437
1,1860000,432
1,1880000,416
1,1900000,443
1,1920000,441
1,1940000,429
1,1960000,461
1,1980000,448
1,2000000,458
1,2020000,460
1,2040000,448
1,2060000,467
1,2080000,461
1,2100000,431
1,2120000,469
1,2140000,465
1,2160000,479
1,2180000,469
1,2200000,443
1,2220000,457
1,2240000,476
1,2260000,440
1,2280000,477
1,2300000,465
1,2320000,456
1,2340000,453
1,2360000,458
1,2380000,486
1,2400000,458
1,2420000,468
1,2440000,450
1,2460000,446
1,2480000,470
1,2500000,446
1,2520000,458
1,2540000,484
1,2560000,465
1,2580000,468
1,2600000,489
1,2620000,467
1,2640000,454
1,2660000,481
1,2680000,466
1,2700000,479
1,2720000,489
1,2740000,495
1,2760000,485
1,2780000,496
1,2800000,503
1,2820000,493
1,2840000,482
1,2860000,448
1,2880000,488
1,2900000,463
1,2920000,484
1,2940000,466
1,2960000,487
1,2980000,481
1,3000000,494
1,3020000,472
1,3040000,489
1,3060000,513
