seed,step,return
1,0,7
1,20000,10
1,40000,8
1,60000,7
1,80000,14
1,100000,27
1,120000,32
1,140000,46
1,160000,45
1,180000,71
1,200000,64
1,220000,74
1,240000,78
1,260000,90
1,280000,104
1,300000,118
1,320000,125
1,340000,137
1,360000,160
1,380000,151
1,400000,155
1,420000,135
1,440000,150
1,460000,191
1,480000,224
1,500000,257
1,520000,269
1,540000,283
1,560000,317
1,580000,345
1,600000,371
1,620000,412
1,640000,517
1,660000,497
1,680000,562
1,700000,464
1,720000,602
1,740000,583
1,760000,580
1,780000,527
1,800000,514
1,820000,589
1,840000,625
1,860000,728
1,880000,599
1,900000,679
1,920000,664
1,940000,713
1,960000,696
1,980000,708
1,1000000,651
1,1020000,757
1,1040000,696
1,1060000,741
1,1080000,772
1,1100000,767
1,1120000,733
1,1140000,790
1,1160000,800
1,1180000,827
1,1200000,790
1,1220000,803
1,1240000,821
1,1260000,858
1,1280000,839
1,1300000,857
1,1320000,862
1,1340000,857
1,1360000,842
1,1380000,822
1,1400000,859
1,1420000,818
1,1440000,866
1,1460000,821
1,1480000,863
1,1500000,862
1,1520000,877
1,1540000,876
1,1560000,872
1,1580000,866
1,1600000,869
1,1620000,811
1,1640000,825
1,1660000,860
1,1680000,828
1,1700000,853
1,1720000,881
1,1740000,865
1,1760000,882
1,1780000,872
1,1800000,878
1,1820000,880
1,1840000,844
1,1860000,879
1,1880000,892
1,1900000,880
1,1920000,852
1,1940000,902
1,1960000,903
1,1980000,884
1,2000000,879
1,2020000,860
1,2040000,867
1,2060000,888
1,2080000,878
1,2100000,882
1,2120000,881
1,2140000,878
1,2160000,893
1,2180000,844
1,2200000,883
1,2220000,898
1,2240000,900
1,2260000,861
1,2280000,905
1,2300000,905
1,2320000,886
1,2340000,893
1,2360000,905
1,2380000,898
1,2400000,895
1,2420000,887
1,2440000,878
1,2460000,879
1,2480000,896
1,2500000,903
1,2520000,878
1,2540000,888
1,2560000,911
1,2580000,880
1,2600000,897
1,2620000,897
1,2640000,874
1,2660000,861
1,2680000,897
1,2700000,886
1,2720000,904
1,2740000,908
1,2760000,909
1,2780000,895
1,2800000,910
1,2820000,917
1,2840000,904
1,2860000,886
1,2880000,891
1,2900000,895
1,2920000,908
1,2940000,901
1,2960000,892
1,2980000,871
1,3000000,902
1,3020000,911
1,3040000,899
1,3060000,849
1,3080000,901
1,3100000,905
1,3120000,903
1,3140000,897
1,3160000,911
1,3180000,899
1,3200000,900
1,3220000,912
1,3240000,895
1,3260000,910
1,3280000,888
1,3300000,893
1,3320000,885
1,3340000,898
1,3360000,895
1,3380000,894
1,3400000,899
1,3420000,906
1,3440000,894
1,3460000,871
1,3480000,907
1,3500000,888
1,3520000,903
1,3540000,886
1,3560000,909
1,3580000,906
1,3600000,913
1,3620000,886
1,3640000,911
1,3660000,885
1,3680000,894
1,3700000,881
1,3720000,894
1,3740000,891
1,3760000,888
1,3780000,901
1,3800000,896
1,3820000,891
1,3840000,903
1,3860000,909
1,3880000,886
1,3900000,872
1,3920000,891
1,3940000,902
1,3960000,896
1,3980000,900
1,4000000,903
1,4020000,903
1,4040000,828
1,4060000,880
1,4080000,909
1,4100000,863
1,4120000,866
1,4140000,889
1,4160000,916
1,4180000,905
1,4200000,908
1,4220000,901
1,4240000,910
1,4260000,903
1,4280000,871
1,4300000,871
1,4320000,898
1,4340000,887
1,4360000,887
1,4380000,892
1,4400000,883
1,4420000,898
1,4440000,880
1,4460000,888
1,4480000,886
1,4500000,894
1,4520000,894
1,4540000,871
1,4560000,889
1,4580000,895
1,4600000,892
1,4620000,894
1,4640000,898
1,4660000,899
1,4680000,908
1,4700000,909
1,4720000,891
1,4740000,910
1,4760000,892
1,4780000,804
1,4800000,869
1,4820000,907
1,4840000,893
1,4860000,893
1,4880000,906
1,4900000,896
1,4920000,884
1,4940000,908
1,4960000,894
1,4980000,904
1,5000000,894
2,0,7
2,20000,8
2,40000,12
2,60000,7
2,80000,15
2,100000,17
2,120000,26
2,140000,28
2,160000,49
2,180000,66
2,200000,69
2,220000,63
2,240000,79
2,260000,104
2,280000,117
2,300000,116
2,320000,140
2,340000,140
2,360000,206
2,380000,213
2,400000,217
2,420000,256
2,440000,259
2,460000,311
2,480000,312
2,500000,325
2,520000,375
2,540000,399
2,560000,417
2,580000,393
2,600000,386
2,620000,429
2,640000,467
2,660000,493
2,680000,489
2,700000,428
2,720000,411
2,740000,437
2,760000,475
2,780000,504
2,800000,537
2,820000,610
2,840000,588
2,860000,572
2,880000,630
2,900000,629
2,920000,617
2,940000,670
2,960000,649
2,980000,562
2,1000000,656
2,1020000,665
2,1040000,656
2,1060000,703
2,1080000,652
2,1100000,724
2,1120000,710
2,1140000,729
2,1160000,772
2,1180000,660
2,1200000,719
2,1220000,782
2,1240000,778
2,1260000,766
2,1280000,694
2,1300000,730
2,1320000,729
2,1340000,825
2,1360000,827
2,1380000,810
2,1400000,812
2,1420000,863
2,1440000,749
2,1460000,811
2,1480000,764
2,1500000,803
2,1520000,807
2,1540000,837
2,1560000,847
2,1580000,806
2,1600000,780
2,1620000,798
2,1640000,800
2,1660000,812
2,1680000,769
2,1700000,805
2,1720000,769
2,1740000,838
2,1760000,834
2,1780000,847
2,1800000,830
2,1820000,851
2,1840000,848
2,1860000,847
2,1880000,846
2,1900000,878
2,1920000,867
2,1940000,834
2,1960000,819
2,1980000,831
2,2000000,843
2,2020000,856
2,2040000,795
2,2060000,852
2,2080000,841
2,2100000,856
2,2120000,832
2,2140000,825
2,2160000,808
2,2180000,850
2,2200000,858
2,2220000,830
2,2240000,870
2,2260000,862
2,2280000,851
2,2300000,870
2,2320000,876
2,2340000,864
2,2360000,849
2,2380000,858
2,2400000,870
2,2420000,837
2,2440000,824
2,2460000,890
2,2480000,840
2,2500000,871
2,2520000,854
2,2540000,887
2,2560000,865
2,2580000,855
2,2600000,874
2,2620000,859
2,2640000,869
2,2660000,907
2,2680000,864
2,2700000,886
2,2720000,886
2,2740000,861
2,2760000,848
2,2780000,848
2,2800000,893
2,2820000,862
2,2840000,911
2,2860000,871
2,2880000,880
2,2900000,860
2,2920000,844
2,2940000,869
2,2960000,883
2,2980000,882
2,3000000,879
2,3020000,886
2,3040000,910
2,3060000,899
2,3080000,906
2,3100000,888
2,3120000,870
2,3140000,887
2,3160000,872
2,3180000,866
2,3200000,888
2,3220000,867
2,3240000,888
2,3260000,900
2,3280000,890
2,3300000,871
2,3320000,835
2,3340000,886
2,3360000,889
2,3380000,893
2,3400000,880
2,3420000,895
2,3440000,886
2,3460000,881
2,3480000,904
2,3500000,864
2,3520000,867
2,3540000,887
2,3560000,856
2,3580000,880
2,3600000,874
2,3620000,888
2,3640000,886
2,3660000,881
2,3680000,878
2,3700000,894
2,3720000,887
2,3740000,861
2,3760000,861
2,3780000,879
2,3800000,865
2,3820000,862
2,3840000,891
2,3860000,875
2,3880000,860
2,3900000,884
2,3920000,856
2,3940000,877
2,3960000,891
2,3980000,854
2,4000000,864
2,4020000,887
2,4040000,866
2,4060000,818
2,4080000,879
2,4100000,867
2,4120000,862
2,4140000,860
2,4160000,900
2,4180000,865
2,4200000,816
2,4220000,875
2,4240000,842
2,4260000,872
2,4280000,871
2,4300000,875
2,4320000,827
2,4340000,878
2,4360000,883
