seed,step,return
1,0,7
1,20000,9
1,40000,15
1,60000,12
1,80000,10
1,100000,42
1,120000,45
1,140000,100
1,160000,53
1,180000,86
1,200000,76
1,220000,81
1,240000,200
1,260000,212
1,280000,286
1,300000,346
1,320000,307
1,340000,415
1,360000,422
1,380000,443
1,400000,461
1,420000,469
1,440000,494
1,460000,573
1,480000,573
1,500000,560
1,520000,612
1,540000,578
1,560000,707
1,580000,702
1,600000,720
1,620000,778
1,640000,782
1,660000,747
1,680000,810
1,700000,749
1,720000,772
1,740000,725
1,760000,829
1,780000,829
1,800000,851
1,820000,831
1,840000,852
1,860000,809
1,880000,845
1,900000,818
1,920000,828
1,940000,800
1,960000,847
1,980000,911
1,1000000,851
1,1020000,881
1,1040000,889
1,1060000,885
1,1080000,869
1,1100000,875
1,1120000,888
1,1140000,893
1,1160000,881
1,1180000,907
1,1200000,890
1,1220000,912
1,1240000,912
1,1260000,900
1,1280000,858
1,1300000,849
1,1320000,892
1,1340000,924
1,1360000,907
1,1380000,921
1,1400000,921
1,1420000,907
1,1440000,894
1,1460000,925
1,1480000,926
1,1500000,890
1,1520000,941
1,1540000,934
1,1560000,931
1,1580000,892
1,1600000,869
1,1620000,883
1,1640000,920
1,1660000,921
1,1680000,930
1,1700000,886
1,1720000,931
1,1740000,912
1,1760000,912
1,1780000,912
1,1800000,920
1,1820000,904
1,1840000,913
1,1860000,919
1,1880000,890
1,1900000,941
1,1920000,913
1,1940000,894
1,1960000,939
1,1980000,936
1,2000000,934
1,2020000,935
1,2040000,938
1,2060000,926
1,2080000,916
1,2100000,798
1,2120000,906
1,2140000,921
1,2160000,940
1,2180000,941
1,2200000,935
1,2220000,935
1,2240000,930
1,2260000,937
1,2280000,924
1,2300000,923
1,2320000,933
1,2340000,945
1,2360000,936
1,2380000,932
1,2400000,947
1,2420000,949
1,2440000,935
1,2460000,929
1,2480000,927
1,2500000,939
1,2520000,915
1,2540000,918
1,2560000,937
1,2580000,916
1,2600000,947
1,2620000,935
1,2640000,923
1,2660000,937
1,2680000,935
1,2700000,817
1,2720000,931
1,2740000,925
1,2760000,943
1,2780000,930
1,2800000,937
1,2820000,939
1,2840000,945
1,2860000,938
1,2880000,935
1,2900000,926
1,2920000,947
1,2940000,931
1,2960000,951
1,2980000,928
1,3000000,932
1,3020000,923
1,3040000,931
1,3060000,926
1,3080000,947
1,3100000,945
1,3120000,941
1,3140000,934
1,3160000,943
1,3180000,950
1,3200000,940
1,3220000,938
1,3240000,935
1,3260000,940
1,3280000,944
1,3300000,944
1,3320000,935
1,3340000,945
1,3360000,949
1,3380000,936
1,3400000,941
1,3420000,946
1,3440000,941
1,3460000,946
1,3480000,944
1,3500000,935
1,3520000,931
1,3540000,945
1,3560000,943
1,3580000,941
1,3600000,954
1,3620000,935
1,3640000,949
1,3660000,949
1,3680000,945
1,3700000,949
1,3720000,937
1,3740000,943
1,3760000,945
1,3780000,931
1,3800000,933
1,3820000,944
1,3840000,946
1,3860000,945
1,3880000,931
1,3900000,939
1,3920000,944
1,3940000,947
1,3960000,951
1,3980000,938
1,4000000,947
1,4020000,953
1,4040000,932
1,4060000,947
1,4080000,946
1,4100000,940
1,4120000,933
1,4140000,941
1,4160000,948
1,4180000,953
1,4200000,939
1,4220000,940
1,4240000,951
1,4260000,945
1,4280000,934
1,4300000,938
1,4320000,949
1,4340000,949
1,4360000,936
1,4380000,936
1,4400000,941
1,4420000,944
1,4440000,942
1,4460000,944
1,4480000,946
1,4500000,954
1,4520000,943
1,4540000,955
1,4560000,924
1,4580000,950
1,4600000,950
1,4620000,933
1,4640000,927
1,4660000,947
1,4680000,951
1,4700000,949
1,4720000,951
1,4740000,954
1,4760000,946
1,4780000,948
1,4800000,942
1,4820000,957
1,4840000,950
1,4860000,947
1,4880000,943
1,4900000,950
1,4920000,940
1,4940000,952
1,4960000,952
1,4980000,884
1,5000000,941
2,0,7
2,20000,13
2,40000,9
2,60000,18
2,80000,24
2,100000,23
2,120000,52
2,140000,60
2,160000,73
2,180000,69
2,200000,91
2,220000,128
2,240000,182
2,260000,160
2,280000,240
2,300000,258
2,320000,330
2,340000,332
2,360000,391
2,380000,417
2,400000,465
2,420000,454
2,440000,510
2,460000,513
2,480000,591
2,500000,591
2,520000,611
2,540000,634
2,560000,637
2,580000,672
2,600000,635
2,620000,666
2,640000,607
2,660000,712
2,680000,725
2,700000,763
2,720000,833
2,740000,830
2,760000,771
2,780000,788
2,800000,800
2,820000,804
2,840000,841
2,860000,816
2,880000,878
2,900000,870
2,920000,828
2,940000,828
2,960000,855
2,980000,875
2,1000000,826
2,1020000,901
2,1040000,905
2,1060000,867
2,1080000,836
2,1100000,844
2,1120000,854
2,1140000,765
2,1160000,890
2,1180000,837
2,1200000,878
2,1220000,853
2,1240000,858
2,1260000,900
2,1280000,871
2,1300000,845
2,1320000,851
2,1340000,903
2,1360000,875
2,1380000,890
2,1400000,916
2,1420000,916
2,1440000,894
2,1460000,907
2,1480000,893
2,1500000,883
2,1520000,831
2,1540000,917
2,1560000,887
2,1580000,927
2,1600000,926
2,1620000,919
2,1640000,903
2,1660000,914
2,1680000,925
2,1700000,921
2,1720000,886
2,1740000,918
2,1760000,915
2,1780000,914
2,1800000,928
2,1820000,936
2,1840000,899
2,1860000,904
2,1880000,853
2,1900000,932
2,1920000,927
2,1940000,920
2,1960000,925
2,1980000,932
2,2000000,924
2,2020000,895
2,2040000,932
2,2060000,934
2,2080000,927
2,2100000,937
2,2120000,887
2,2140000,919
2,2160000,920
2,2180000,924
2,2200000,930
2,2220000,931
2,2240000,908
2,2260000,910
2,2280000,924
2,2300000,935
2,2320000,922
2,2340000,924
2,2360000,925
2,2380000,935
2,2400000,915
2,2420000,928
2,2440000,911
2,2460000,921
2,2480000,938
2,2500000,922
2,2520000,933
2,2540000,935
2,2560000,918
2,2580000,932
2,2600000,934
2,2620000,931
2,2640000,927
2,2660000,936
2,2680000,929
2,2700000,935
2,2720000,923
2,2740000,936
2,2760000,926
2,2780000,936
2,2800000,939
2,2820000,922
2,2840000,940
2,2860000,922
2,2880000,938
2,2900000,944
2,2920000,927
2,2940000,922
2,2960000,924
2,2980000,923
2,3000000,934
2,3020000,942
2,3040000,946
2,3060000,937
2,3080000,943
2,3100000,924
2,3120000,944
2,3140000,936
2,3160000,928
2,3180000,941
2,3200000,921
2,3220000,941
2,3240000,931
2,3260000,926
2,3280000,944
2,3300000,936
2,3320000,932
2,3340000,918
2,3360000,936
2,3380000,929
2,3400000,929
2,3420000,939
2,3440000,942
2,3460000,943
2,3480000,946
2,3500000,932
2,3520000,925
2,3540000,931
2,3560000,920
2,3580000,936
2,3600000,926
2,3620000,927
2,3640000,937
2,3660000,943
2,3680000,930
2,3700000,920
2,3720000,940
2,3740000,934
2,3760000,932
2,3780000,934
2,3800000,929
2,3820000,921
2,3840000,929
2,3860000,930
2,3880000,945
2,3900000,940
2,3920000,935
2,3940000,938
2,3960000,922
2,3980000,940
2,4000000,925
2,4020000,936
2,4040000,926
2,4060000,925
2,4080000,930
2,4100000,932
2,4120000,934
2,4140000,930
2,4160000,935
2,4180000,929
2,4200000,932
2,4220000,936
2,4240000,918
2,4260000,927
2,4280000,942
2,4300000,933
2,4320000,926
2,4340000,932
2,4360000,921
2,4380000,941
2,4400000,930
2,4420000,924
2,4440000,936
2,4460000,930
2,4480000,925
2,4500000,924
2,4520000,925
2,4540000,927
2,4560000,938
2,4580000,923
2,4600000,936
2,4620000,927
2,4640000,929
2,4660000,938
2,4680000,923
2,4700000,935
2,4720000,931
2,4740000,933
2,4760000,932
2,4780000,923
2,4800000,926
2,4820000,926
2,4840000,922
2,4860000,938
2,4880000,946
2,4900000,936
2,4920000,943
2,4940000,925
2,4960000,940
2,4980000,940
2,5000000,911
3,0,8
3,20000,9
3,40000,11
3,60000,11
3,80000,11
3,100000,28
3,120000,23
3,140000,18
3,160000,43
3,180000,50
3,200000,82
3,220000,135
3,240000,139
3,260000,181
3,280000,183
3,300000,214
3,320000,256
3,340000,248
3,360000,235
3,380000,275
3,400000,240
3,420000,234
3,440000,257
3,460000,315
3,480000,364
3,500000,326
3,520000,438
3,540000,391
3,560000,464
3,580000,475
3,600000,527
3,620000,547
3,640000,522
3,660000,561
3,680000,658
3,700000,672
3,720000,725
3,740000,715
3,760000,732
3,780000,749
3,800000,787
3,820000,758
3,840000,814
3,860000,762
3,880000,798
3,900000,866
3,920000,804
3,940000,858
3,960000,801
3,980000,838
3,1000000,848
3,1020000,862
3,1040000,884
3,1060000,860
3,1080000,900
3,1100000,911
3,1120000,887
