seed,step,return
1,0,26
1,20000,0
1,40000,99
1,60000,100
1,80000,100
1,100000,271
1,120000,194
1,140000,245
1,160000,388
1,180000,293
1,200000,296
1,220000,202
1,240000,424
1,260000,292
1,280000,532
1,300000,285
1,320000,563
1,340000,519
1,360000,767
1,380000,455
1,400000,666
1,420000,770
1,440000,391
1,460000,688
1,480000,561
1,500000,562
2,0,85
2,20000,99
2,40000,165
2,60000,293
2,80000,100
2,100000,377
2,120000,99
2,140000,104
2,160000,91
2,180000,286
2,200000,382
2,220000,379
2,240000,481
2,260000,99
2,280000,190
2,300000,292
2,320000,297
2,340000,397
2,360000,558
2,380000,392
2,400000,370
2,420000,486
2,440000,98
2,460000,440
2,480000,447
2,500000,307
3,0,30
3,20000,0
3,40000,0
3,60000,74
3,80000,98
3,100000,100
3,120000,101
3,140000,394
3,160000,69
3,180000,0
3,200000,342
3,220000,0
3,240000,5
3,260000,398
3,280000,193
3,300000,0
3,320000,197
3,340000,113
3,360000,290
3,380000,769
3,400000,97
3,420000,262
3,440000,95
3,460000,483
3,480000,374
3,500000,465
4,0,24
4,20000,100
4,40000,100
4,60000,246
4,80000,0
4,100000,282
4,120000,181
4,140000,91
4,160000,197
4,180000,188
4,200000,174
4,220000,465
4,240000,98
4,260000,334
4,280000,667
4,300000,581
4,320000,495
4,340000,202
4,360000,390
4,380000,316
4,400000,681
4,420000,563
4,440000,567
4,460000,646
4,480000,476
4,500000,756
5,0,12
5,20000,108
5,40000,99
5,60000,290
5,80000,285
5,100000,274
5,120000,205
5,140000,196
5,160000,583
5,180000,294
5,200000,584
5,220000,398
5,240000,394
5,260000,516
5,280000,573
5,300000,467
5,320000,880
5,340000,686
5,360000,776
5,380000,766
5,400000,779
5,420000,751
5,440000,762
5,460000,779
5,480000,841
5,500000,778
