seed,step,return
1,0,68
1,20000,54
1,40000,240
1,60000,352
1,80000,493
1,100000,333
1,120000,612
1,140000,560
1,160000,738
1,180000,671
1,200000,690
1,220000,699
1,240000,631
1,260000,656
1,280000,726
1,300000,692
1,320000,773
1,340000,729
1,360000,771
1,380000,785
1,400000,760
1,420000,743
1,440000,762
1,460000,715
1,480000,736
1,500000,753
2,0,71
2,20000,67
2,40000,156
2,60000,193
2,80000,415
2,100000,348
2,120000,596
2,140000,632
2,160000,624
2,180000,660
2,200000,711
2,220000,711
2,240000,724
2,260000,731
2,280000,699
2,300000,714
2,320000,751
2,340000,748
2,360000,817
2,380000,795
2,400000,749
2,420000,663
2,440000,684
2,460000,786
2,480000,753
2,500000,721
3,0,92
3,20000,86
3,40000,108
3,60000,425
3,80000,376
3,100000,578
3,120000,680
3,140000,609
3,160000,587
3,180000,692
3,200000,808
3,220000,702
3,240000,739
3,260000,708
3,280000,797
3,300000,702
3,320000,709
3,340000,772
3,360000,696
3,380000,771
3,400000,781
3,420000,802
3,440000,802
3,460000,797
3,480000,735
3,500000,766
4,0,65
4,20000,66
4,40000,68
4,60000,49
4,80000,190
4,100000,235
4,120000,571
4,140000,404
4,160000,537
4,180000,679
4,200000,501
4,220000,690
4,240000,709
4,260000,700
4,280000,711
4,300000,744
4,320000,666
4,340000,794
4,360000,773
4,380000,822
4,400000,756
4,420000,779
4,440000,782
4,460000,734
4,480000,813
4,500000,735
5,0,83
5,20000,57
5,40000,176
5,60000,381
5,80000,485
5,100000,600
5,120000,462
5,140000,664
5,160000,615
5,180000,673
5,200000,606
5,220000,714
5,240000,570
5,260000,603
5,280000,638
5,300000,713
5,320000,689
5,340000,724
5,360000,669
5,380000,741
5,400000,611
5,420000,740
5,440000,734
5,460000,770
5,480000,674
5,500000,752
