seed,step,return
1,0,0
1,20000,0
1,40000,0
1,60000,47
1,80000,117
1,100000,185
1,120000,166
1,140000,221
1,160000,313
1,180000,319
1,200000,431
1,220000,407
1,240000,457
1,260000,471
1,280000,519
1,300000,525
1,320000,527
1,340000,516
1,360000,552
1,380000,565
1,400000,530
1,420000,481
1,440000,500
1,460000,578
1,480000,570
1,500000,571
2,0,0
2,20000,0
2,40000,4
2,60000,103
2,80000,186
2,100000,222
2,120000,276
2,140000,325
2,160000,370
2,180000,367
2,200000,337
2,220000,382
2,240000,346
2,260000,398
2,280000,398
2,300000,404
2,320000,403
2,340000,405
2,360000,397
2,380000,414
2,400000,421
2,420000,421
2,440000,425
2,460000,418
2,480000,427
2,500000,386
3,0,0
3,20000,0
3,40000,12
3,60000,52
3,80000,78
3,100000,183
3,120000,176
3,140000,210
3,160000,170
3,180000,235
3,200000,230
3,220000,211
3,240000,259
3,260000,263
3,280000,264
3,300000,278
3,320000,270
3,340000,218
3,360000,277
3,380000,271
3,400000,278
3,420000,256
3,440000,286
3,460000,288
3,480000,294
3,500000,280
4,0,0
4,20000,0
4,40000,9
4,60000,0
4,80000,85
4,100000,125
4,120000,151
4,140000,181
4,160000,185
4,180000,192
4,200000,208
4,220000,211
4,240000,224
4,260000,241
4,280000,250
4,300000,254
4,320000,261
4,340000,232
4,360000,272
4,380000,273
4,400000,282
4,420000,252
4,440000,288
4,460000,262
4,480000,279
4,500000,281
5,0,0
5,20000,0
5,40000,0
5,60000,0
5,80000,0
5,100000,1
5,120000,0
5,140000,2
5,160000,1
5,180000,0
5,200000,2
5,220000,2
5,240000,2
5,260000,37
5,280000,14
5,300000,21
5,320000,62
5,340000,55
5,360000,59
5,380000,22
5,400000,53
5,420000,47
5,440000,59
5,460000,70
5,480000,44
5,500000,105
