seed,step,return
1,0,0
1,20000,0
1,40000,0
1,60000,0
1,80000,0
1,100000,1
1,120000,0
1,140000,0
1,160000,1
1,180000,1
1,200000,1
1,220000,0
1,240000,0
1,260000,2
1,280000,1
1,300000,14
1,320000,48
1,340000,54
1,360000,66
1,380000,70
1,400000,77
1,420000,77
1,440000,83
1,460000,90
1,480000,74
1,500000,86
1,520000,86
1,540000,86
1,560000,96
1,580000,126
1,600000,130
1,620000,128
1,640000,144
1,660000,130
1,680000,127
1,700000,169
1,720000,185
1,740000,175
1,760000,167
1,780000,171
1,800000,165
1,820000,157
1,840000,187
1,860000,190
1,880000,248
1,900000,145
1,920000,181
1,940000,217
1,960000,216
1,980000,205
1,1000000,162
1,1020000,230
1,1040000,203
1,1060000,149
1,1080000,199
1,1100000,216
1,1120000,183
1,1140000,247
1,1160000,216
1,1180000,234
1,1200000,200
1,1220000,212
1,1240000,221
1,1260000,217
1,1280000,195
1,1300000,210
1,1320000,265
1,1340000,147
1,1360000,274
1,1380000,228
1,1400000,198
1,1420000,211
1,1440000,197
1,1460000,225
1,1480000,289
1,1500000,239
1,1520000,273
1,1540000,257
1,1560000,301
1,1580000,250
1,1600000,277
1,1620000,145
1,1640000,283
1,1660000,221
1,1680000,282
1,1700000,220
1,1720000,293
1,1740000,166
1,1760000,198
1,1780000,158
1,1800000,311
1,1820000,240
1,1840000,275
1,1860000,251
1,1880000,271
1,1900000,174
1,1920000,214
1,1940000,261
1,1960000,264
1,1980000,294
1,2000000,295
1,2020000,325
1,2040000,265
1,2060000,215
1,2080000,257
1,2100000,316
1,2120000,346
1,2140000,261
1,2160000,279
1,2180000,276
1,2200000,308
1,2220000,184
1,2240000,308
1,2260000,300
1,2280000,241
1,2300000,316
1,2320000,332
1,2340000,289
1,2360000,229
1,2380000,329
1,2400000,312
1,2420000,263
1,2440000,326
1,2460000,302
1,2480000,281
1,2500000,323
1,2520000,260
1,2540000,334
1,2560000,326
1,2580000,271
1,2600000,285
1,2620000,322
1,2640000,355
1,2660000,335
1,2680000,345
1,2700000,259
1,2720000,380
1,2740000,320
1,2760000,388
1,2780000,271
1,2800000,325
1,2820000,296
1,2840000,346
1,2860000,366
1,2880000,361
1,2900000,342
1,2920000,373
1,2940000,324
1,2960000,367
1,2980000,331
1,3000000,379
2,0,0
2,20000,1
2,40000,0
2,60000,0
2,80000,1
2,100000,0
2,120000,1
2,140000,1
2,160000,1
2,180000,1
2,200000,1
2,220000,1
2,240000,5
2,260000,27
2,280000,31
2,300000,40
2,320000,54
2,340000,76
2,360000,69
2,380000,62
2,400000,77
2,420000,92
