seed,step,return
1,0,4
1,20000,4
1,40000,6
1,60000,5
1,80000,6
1,100000,6
1,120000,4
1,140000,5
1,160000,7
1,180000,6
1,200000,5
1,220000,76
1,240000,189
1,260000,193
1,280000,217
1,300000,248
1,320000,278
1,340000,268
1,360000,397
1,380000,277
1,400000,423
1,420000,439
1,440000,392
1,460000,358
1,480000,465
1,500000,507
1,520000,455
1,540000,534
1,560000,510
1,580000,540
1,600000,552
1,620000,574
1,640000,580
1,660000,557
1,680000,665
1,700000,668
1,720000,519
1,740000,649
1,760000,702
1,780000,693
1,800000,752
1,820000,790
1,840000,744
1,860000,762
1,880000,820
1,900000,783
1,920000,793
1,940000,709
1,960000,856
1,980000,881
1,1000000,731
1,1020000,879
1,1040000,864
1,1060000,851
1,1080000,845
1,1100000,749
1,1120000,850
1,1140000,805
1,1160000,888
1,1180000,862
1,1200000,602
1,1220000,746
1,1240000,603
1,1260000,874
1,1280000,750
1,1300000,839
1,1320000,868
1,1340000,870
1,1360000,882
1,1380000,895
1,1400000,903
1,1420000,807
1,1440000,718
1,1460000,848
1,1480000,893
1,1500000,901
1,1520000,803
1,1540000,872
1,1560000,906
1,1580000,895
1,1600000,881
1,1620000,905
1,1640000,898
1,1660000,893
1,1680000,772
1,1700000,912
1,1720000,893
1,1740000,905
1,1760000,896
1,1780000,901
1,1800000,883
1,1820000,905
1,1840000,900
1,1860000,886
1,1880000,836
1,1900000,848
1,1920000,895
1,1940000,900
1,1960000,783
1,1980000,862
1,2000000,897
1,2020000,897
1,2040000,898
1,2060000,894
1,2080000,910
1,2100000,897
1,2120000,901
1,2140000,894
1,2160000,909
1,2180000,889
1,2200000,908
1,2220000,891
1,2240000,906
1,2260000,884
1,2280000,888
1,2300000,902
1,2320000,900
1,2340000,916
1,2360000,914
1,2380000,907
1,2400000,832
1,2420000,881
1,2440000,872
1,2460000,899
1,2480000,892
1,2500000,914
1,2520000,881
1,2540000,884
1,2560000,896
1,2580000,899
1,2600000,887
1,2620000,873
1,2640000,909
1,2660000,871
1,2680000,925
1,2700000,906
1,2720000,909
1,2740000,906
1,2760000,914
1,2780000,913
1,2800000,868
1,2820000,888
1,2840000,912
1,2860000,894
1,2880000,750
1,2900000,910
1,2920000,889
1,2940000,923
1,2960000,871
1,2980000,698
1,3000000,895
2,0,4
2,20000,5
2,40000,4
2,60000,5
2,80000,7
2,100000,5
2,120000,6
2,140000,7
2,160000,5
2,180000,12
2,200000,175
2,220000,251
2,240000,325
2,260000,338
2,280000,416
2,300000,429
