seed,step,return
1,0,0
1,20000,1
1,40000,1
1,60000,1
1,80000,1
1,100000,1
1,120000,1
1,140000,1
1,160000,1
1,180000,1
1,200000,1
1,220000,33
1,240000,106
1,260000,173
1,280000,206
1,300000,254
1,320000,294
1,340000,280
1,360000,319
1,380000,330
1,400000,411
1,420000,427
1,440000,400
1,460000,441
1,480000,466
1,500000,517
1,520000,472
1,540000,534
1,560000,514
1,580000,574
1,600000,556
1,620000,576
1,640000,646
1,660000,558
1,680000,512
1,700000,544
1,720000,617
1,740000,555
1,760000,579
1,780000,710
1,800000,710
1,820000,601
1,840000,640
1,860000,733
1,880000,717
1,900000,696
1,920000,775
1,940000,714
1,960000,783
1,980000,768
1,1000000,711
1,1020000,786
1,1040000,767
1,1060000,748
1,1080000,858
1,1100000,824
1,1120000,881
1,1140000,797
1,1160000,885
1,1180000,905
1,1200000,817
1,1220000,851
1,1240000,856
1,1260000,848
1,1280000,896
1,1300000,871
1,1320000,914
1,1340000,881
1,1360000,889
1,1380000,877
1,1400000,920
1,1420000,766
1,1440000,889
1,1460000,852
1,1480000,865
1,1500000,905
1,1520000,903
1,1540000,887
1,1560000,890
1,1580000,877
1,1600000,896
1,1620000,891
1,1640000,880
1,1660000,921
1,1680000,829
1,1700000,854
1,1720000,770
1,1740000,888
1,1760000,882
1,1780000,889
1,1800000,747
1,1820000,853
1,1840000,889
1,1860000,900
1,1880000,907
1,1900000,925
1,1920000,891
1,1940000,923
1,1960000,914
1,1980000,923
1,2000000,809
1,2020000,879
1,2040000,909
1,2060000,912
1,2080000,902
1,2100000,783
1,2120000,910
1,2140000,908
1,2160000,910
1,2180000,909
1,2200000,888
1,2220000,882
1,2240000,891
1,2260000,900
1,2280000,910
1,2300000,896
1,2320000,866
1,2340000,917
1,2360000,909
1,2380000,908
1,2400000,924
1,2420000,912
1,2440000,892
1,2460000,872
1,2480000,933
1,2500000,907
1,2520000,928
1,2540000,920
1,2560000,906
1,2580000,888
1,2600000,887
1,2620000,928
1,2640000,896
1,2660000,919
1,2680000,894
1,2700000,920
1,2720000,924
1,2740000,922
1,2760000,939
1,2780000,896
1,2800000,935
1,2820000,926
1,2840000,885
1,2860000,831
1,2880000,889
1,2900000,926
1,2920000,892
1,2940000,916
1,2960000,928
1,2980000,930
1,3000000,921
2,0,0
2,20000,0
2,40000,0
2,60000,1
2,80000,1
2,100000,1
2,120000,1
2,140000,1
2,160000,1
2,180000,1
2,200000,1
2,220000,1
2,240000,96
2,260000,109
2,280000,200
2,300000,216
2,320000,237
2,340000,256
2,360000,321
2,380000,289
2,400000,345
2,420000,345
2,440000,394
2,460000,414
2,480000,446
2,500000,427
2,520000,466
2,540000,492
2,560000,472
2,580000,498
2,600000,580
2,620000,488
2,640000,584
2,660000,621
2,680000,602
2,700000,671
2,720000,625
2,740000,694
2,760000,717
2,780000,567
2,800000,703
2,820000,759
2,840000,690
2,860000,782
2,880000,712
2,900000,743
2,920000,817
2,940000,837
2,960000,769
2,980000,818
2,1000000,791
2,1020000,837
2,1040000,766
2,1060000,824
2,1080000,851
2,1100000,816
2,1120000,846
2,1140000,772
2,1160000,857
2,1180000,773
2,1200000,867
2,1220000,838
2,1240000,837
2,1260000,818
2,1280000,803
2,1300000,883
2,1320000,774
2,1340000,869
2,1360000,902
2,1380000,851
