seed,step,return
1,0,57
1,20000,109
1,40000,62
1,60000,298
1,80000,253
1,100000,491
1,120000,518
1,140000,544
1,160000,669
1,180000,712
1,200000,781
1,220000,794
1,240000,784
1,260000,805
1,280000,830
1,300000,800
1,320000,842
1,340000,816
1,360000,842
1,380000,840
1,400000,875
1,420000,858
1,440000,869
1,460000,874
1,480000,872
1,500000,865
2,0,250
2,20000,53
2,40000,55
2,60000,439
2,80000,372
2,100000,471
2,120000,557
2,140000,604
2,160000,664
2,180000,644
2,200000,665
2,220000,708
2,240000,691
2,260000,701
2,280000,687
2,300000,691
2,320000,690
2,340000,726
2,360000,741
2,380000,701
2,400000,695
2,420000,738
2,440000,729
2,460000,721
2,480000,738
2,500000,722
3,0,155
3,20000,49
3,40000,56
3,60000,152
3,80000,27
3,100000,53
3,120000,68
3,140000,167
3,160000,435
3,180000,295
3,200000,537
3,220000,598
3,240000,642
3,260000,685
3,280000,690
3,300000,706
3,320000,726
3,340000,758
3,360000,763
3,380000,763
3,400000,754
3,420000,762
3,440000,788
3,460000,755
3,480000,764
3,500000,742
4,0,103
4,20000,50
4,40000,40
4,60000,207
4,80000,188
4,100000,351
4,120000,288
4,140000,505
4,160000,589
4,180000,664
4,200000,729
4,220000,723
4,240000,745
4,260000,776
4,280000,781
4,300000,783
4,320000,804
4,340000,809
4,360000,829
4,380000,823
4,400000,848
4,420000,845
4,440000,845
4,460000,828
4,480000,867
4,500000,768
5,0,56
5,20000,27
5,40000,74
5,60000,145
5,80000,460
5,100000,341
5,120000,471
5,140000,577
5,160000,695
5,180000,762
5,200000,791
5,220000,822
5,240000,821
5,260000,840
5,280000,870
5,300000,867
5,320000,887
5,340000,882
5,360000,880
5,380000,904
5,400000,888
5,420000,882
5,440000,891
5,460000,879
5,480000,891
5,500000,886
