seed,step,return
1,0,60
1,20000,153
1,40000,94
1,60000,585
1,80000,653
1,100000,626
1,120000,817
1,140000,871
1,160000,904
1,180000,881
1,200000,810
1,220000,905
1,240000,917
1,260000,834
1,280000,841
1,300000,955
1,320000,907
1,340000,922
1,360000,928
1,380000,950
1,400000,948
1,420000,632
1,440000,948
1,460000,977
1,480000,943
1,500000,956
2,0,250
2,20000,62
2,40000,213
2,60000,45
2,80000,563
2,100000,688
2,120000,881
2,140000,846
2,160000,942
2,180000,929
2,200000,942
2,220000,951
2,240000,941
2,260000,939
2,280000,893
2,300000,936
2,320000,929
2,340000,942
2,360000,933
2,380000,949
2,400000,898
2,420000,957
2,440000,943
2,460000,948
2,480000,959
2,500000,937
3,0,154
3,20000,64
3,40000,33
3,60000,48
3,80000,199
3,100000,183
3,120000,98
3,140000,175
3,160000,136
3,180000,368
3,200000,429
3,220000,777
3,240000,829
3,260000,724
3,280000,919
3,300000,906
3,320000,950
3,340000,933
3,360000,924
3,380000,948
3,400000,922
3,420000,930
3,440000,939
3,460000,949
3,480000,924
3,500000,926
4,0,100
4,20000,40
4,40000,122
4,60000,146
4,80000,232
4,100000,445
4,120000,368
4,140000,822
4,160000,788
4,180000,889
4,200000,899
4,220000,878
4,240000,935
4,260000,902
4,280000,918
4,300000,956
4,320000,940
4,340000,945
4,360000,945
4,380000,951
4,400000,968
4,420000,951
4,440000,932
4,460000,944
4,480000,940
4,500000,948
5,0,55
5,20000,57
5,40000,71
5,60000,38
5,80000,241
5,100000,394
5,120000,543
5,140000,535
5,160000,549
5,180000,750
5,200000,880
5,220000,836
5,240000,871
5,260000,940
5,280000,937
5,300000,903
5,320000,955
5,340000,934
5,360000,922
5,380000,943
5,400000,902
5,420000,946
5,440000,968
5,460000,935
5,480000,952
5,500000,888
