seed,step,return
1,0,70
1,20000,529
1,40000,714
1,60000,920
1,80000,975
1,100000,979
1,120000,890
1,140000,977
1,160000,981
1,180000,988
1,200000,993
1,220000,986
1,240000,980
1,260000,982
1,280000,962
1,300000,986
1,320000,986
1,340000,983
1,360000,889
1,380000,988
1,400000,974
1,420000,984
1,440000,985
1,460000,790
1,480000,984
1,500000,984
2,0,54
2,20000,481
2,40000,590
2,60000,979
2,80000,890
2,100000,976
2,120000,983
2,140000,978
2,160000,982
2,180000,992
2,200000,978
2,220000,895
2,240000,978
2,260000,977
2,280000,985
2,300000,881
2,320000,988
2,340000,984
2,360000,978
2,380000,980
2,400000,986
2,420000,927
2,440000,982
2,460000,986
2,480000,854
2,500000,950
3,0,57
3,20000,433
3,40000,735
3,60000,867
3,80000,965
3,100000,951
3,120000,988
3,140000,986
3,160000,980
3,180000,986
3,200000,982
3,220000,891
3,240000,981
3,260000,947
3,280000,834
3,300000,983
3,320000,980
3,340000,985
3,360000,984
3,380000,984
3,400000,978
3,420000,983
3,440000,986
3,460000,982
3,480000,983
3,500000,982
4,0,78
4,20000,599
4,40000,924
4,60000,878
4,80000,849
4,100000,800
4,120000,898
4,140000,953
4,160000,970
4,180000,974
4,200000,969
4,220000,883
4,240000,972
4,260000,978
4,280000,972
4,300000,978
4,320000,975
4,340000,989
4,360000,981
4,380000,978
4,400000,970
4,420000,979
4,440000,972
4,460000,982
4,480000,980
4,500000,984
5,0,30
5,20000,636
5,40000,588
5,60000,878
5,80000,787
5,100000,760
5,120000,857
5,140000,893
5,160000,978
5,180000,978
5,200000,946
5,220000,980
5,240000,976
5,260000,883
5,280000,963
5,300000,890
5,320000,985
5,340000,970
5,360000,983
5,380000,979
5,400000,983
5,420000,980
5,440000,984
5,460000,986
5,480000,981
5,500000,982
