seed,step,return
1,0,10
1,20000,145
1,40000,866
1,60000,664
1,80000,766
1,100000,906
1,120000,746
1,140000,816
1,160000,875
1,180000,951
1,200000,858
1,220000,900
1,240000,970
1,260000,972
1,280000,884
1,300000,968
1,320000,964
1,340000,959
1,360000,973
1,380000,974
1,400000,961
1,420000,969
1,440000,957
1,460000,964
1,480000,892
1,500000,969
2,0,8
2,20000,181
2,40000,380
2,60000,294
2,80000,647
2,100000,878
2,120000,777
2,140000,970
2,160000,962
2,180000,867
2,200000,966
2,220000,970
2,240000,963
2,260000,973
2,280000,935
2,300000,972
2,320000,972
2,340000,974
2,360000,966
2,380000,973
2,400000,894
2,420000,978
2,440000,971
2,460000,975
2,480000,964
2,500000,972
3,0,8
3,20000,81
3,40000,429
3,60000,864
3,80000,934
3,100000,905
3,120000,957
3,140000,953
3,160000,854
3,180000,969
3,200000,972
3,220000,866
3,240000,967
3,260000,906
3,280000,961
3,300000,975
3,320000,969
3,340000,876
3,360000,878
3,380000,978
3,400000,972
3,420000,955
3,440000,969
3,460000,971
3,480000,971
3,500000,972
4,0,13
4,20000,34
4,40000,568
4,60000,942
4,80000,863
4,100000,773
4,120000,873
4,140000,875
4,160000,972
4,180000,966
4,200000,961
4,220000,970
4,240000,866
4,260000,873
4,280000,971
4,300000,972
4,320000,881
4,340000,871
4,360000,683
4,380000,974
4,400000,968
4,420000,976
4,440000,874
4,460000,973
4,480000,981
4,500000,946
5,0,2
5,20000,149
5,40000,678
5,60000,573
5,80000,841
5,100000,947
5,120000,970
5,140000,972
5,160000,790
5,180000,928
5,200000,965
5,220000,969
5,240000,966
5,260000,973
5,280000,973
5,300000,964
5,320000,972
5,340000,973
5,360000,972
5,380000,971
5,400000,980
5,420000,960
5,440000,974
5,460000,975
5,480000,974
5,500000,974
