seed,step,return
1,0,23
1,20000,299
1,40000,608
1,60000,711
1,80000,722
1,100000,741
1,120000,754
1,140000,767
1,160000,778
1,180000,784
1,200000,789
1,220000,781
1,240000,807
1,260000,803
1,280000,809
1,300000,814
1,320000,811
1,340000,816
1,360000,827
1,380000,821
1,400000,828
1,420000,830
1,440000,835
1,460000,842
1,480000,816
1,500000,829
2,0,24
2,20000,238
2,40000,632
2,60000,700
2,80000,733
2,100000,746
2,120000,701
2,140000,794
2,160000,796
2,180000,789
2,200000,803
2,220000,801
2,240000,815
2,260000,827
2,280000,826
2,300000,823
2,320000,821
2,340000,822
2,360000,826
2,380000,832
2,400000,830
2,420000,827
2,440000,832
2,460000,843
2,480000,835
2,500000,824
3,0,23
3,20000,303
3,40000,576
3,60000,701
3,80000,742
3,100000,742
3,120000,745
3,140000,759
3,160000,778
3,180000,784
3,200000,802
3,220000,801
3,240000,799
3,260000,804
3,280000,802
3,300000,806
3,320000,812
3,340000,816
3,360000,730
3,380000,811
3,400000,823
3,420000,820
3,440000,822
3,460000,826
3,480000,836
3,500000,810
4,0,22
4,20000,295
4,40000,586
4,60000,666
4,80000,705
4,100000,660
4,120000,767
4,140000,781
4,160000,784
4,180000,797
4,200000,789
4,220000,802
4,240000,791
4,260000,808
4,280000,813
4,300000,799
4,320000,806
4,340000,816
4,360000,807
4,380000,804
4,400000,821
4,420000,800
4,440000,810
4,460000,824
4,480000,794
4,500000,821
5,0,23
5,20000,317
5,40000,565
5,60000,678
5,80000,733
5,100000,751
5,120000,755
5,140000,764
5,160000,787
5,180000,782
5,200000,796
5,220000,799
5,240000,808
5,260000,807
5,280000,830
5,300000,821
5,320000,821
5,340000,819
5,360000,820
5,380000,826
5,400000,820
5,420000,824
5,440000,806
5,460000,821
5,480000,833
5,500000,815
