seed,step,return
1,0,36
1,20000,546
1,40000,956
1,60000,966
1,80000,973
1,100000,961
1,120000,958
1,140000,968
1,160000,982
1,180000,965
1,200000,971
1,220000,979
1,240000,966
1,260000,963
1,280000,980
1,300000,973
1,320000,972
1,340000,968
1,360000,975
1,380000,972
1,400000,979
1,420000,972
1,440000,980
1,460000,982
1,480000,977
1,500000,980
2,0,37
2,20000,535
2,40000,954
2,60000,956
2,80000,956
2,100000,966
2,120000,966
2,140000,979
2,160000,969
2,180000,968
2,200000,972
2,220000,965
2,240000,974
2,260000,980
2,280000,972
2,300000,970
2,320000,983
2,340000,960
2,360000,981
2,380000,978
2,400000,978
2,420000,972
2,440000,969
2,460000,975
2,480000,976
2,500000,979
3,0,35
3,20000,734
3,40000,963
3,60000,950
3,80000,942
3,100000,962
3,120000,960
3,140000,976
3,160000,980
3,180000,970
3,200000,955
3,220000,969
3,240000,970
3,260000,978
3,280000,971
3,300000,972
3,320000,981
3,340000,964
3,360000,971
3,380000,977
3,400000,956
3,420000,962
3,440000,971
3,460000,979
3,480000,979
3,500000,977
4,0,35
4,20000,129
4,40000,943
4,60000,976
4,80000,957
4,100000,955
4,120000,968
4,140000,970
4,160000,968
4,180000,973
4,200000,972
4,220000,967
4,240000,964
4,260000,969
4,280000,971
4,300000,976
4,320000,977
4,340000,966
4,360000,973
4,380000,971
4,400000,970
4,420000,965
4,440000,968
4,460000,976
4,480000,975
4,500000,972
5,0,33
5,20000,291
5,40000,952
5,60000,970
5,80000,968
5,100000,971
5,120000,966
5,140000,969
5,160000,961
5,180000,968
5,200000,976
5,220000,976
5,240000,980
5,260000,976
5,280000,983
5,300000,981
5,320000,978
5,340000,974
5,360000,972
5,380000,983
5,400000,982
5,420000,977
5,440000,979
5,460000,978
5,480000,983
5,500000,976
